team,lat,lng,points
1,19.514419,-99.141129,2000
1,19.511421,-99.138744,4616
1,19.51892,-99.137699,1600
1,19.519424,-99.14227,14218
3,19.516518,-99.126872,2000
2,19.34275,-99.073071,2000
1,19.345917,-99.063631,4000
2,19.568831,-99.050497,4000
2,19.57165,-99.042854,2000
1,19.477199,-99.224131,2000
2,19.484672,-99.220869,3000
1,19.427391,-99.097946,5726
1,19.43246,-99.094501,7527
1,19.425654,-99.092796,15654
1,19.430731,-99.0997,10952
2,19.479018,-99.232018,5406
2,19.485656,-99.233419,19039
2,19.337179,-99.211907,2000
3,19.340193,-99.204203,6234
3,19.347689,-99.202125,10215
2,19.336401,-99.200943,10222
2,19.400067,-99.158692,9191
2,19.405844,-99.166648,2000
1,19.396071,-99.161269,2500
2,19.396974,-99.164933,5738
2,19.384309,-99.129385,6205
1,19.382157,-99.1451,32091
2,19.382357,-99.137906,14400
1,19.376322,-99.140399,5000
1,19.404744,-99.157986,4000
1,19.349674,-99.064415,10551
2,19.526434,-99.158736,5172
2,19.387565,-99.146703,11259
1,19.394403,-99.146565,3569
1,19.393625,-99.153575,2000
2,19.409733,-99.104746,14904
1,19.511913,-99.102616,5000
1,19.490824,-99.229043,6000
1,19.489874,-99.224739,6240
3,19.498062,-99.225678,2000
1,19.449824,-99.115739,2000
1,19.40748,-99.154009,6100
1,19.494981,-99.231425,16135
2,19.488651,-99.220269,30640
1,19.40202,-99.155381,6628
1,19.520228,-99.10844,4000
1,19.319898,-99.045522,6633
2,19.312002,-99.037105,6000
2,19.390869,-99.156629,14274
1,19.543585,-99.038828,6000
1,19.29976,-99.045812,958
3,19.296555,-99.055317,5106
2,19.299221,-99.049214,13962
1,19.38614,-99.157353,8321
1,19.453852,-99.085292,2000
2,19.451,-99.097743,2000
2,19.447584,-99.091235,2249
2,19.44324,-99.082495,2000
1,19.445732,-99.087127,4000
1,19.448203,-99.084794,6000
3,19.436385,-99.080712,6036
1,19.440842,-99.094701,5600
2,19.441446,-99.095899,4000
1,19.439771,-99.085442,13606
2,19.390784,-99.163382,18324
2,19.390384,-99.164547,14354
1,19.665933,-99.08955,10465
1,19.661059,-99.071289,6850
2,19.668084,-99.078722,2000
1,19.662543,-99.080169,6100
2,19.315664,-99.249441,3442
2,19.311919,-99.254433,6158
2,19.322139,-99.247057,10526
1,19.319992,-99.243362,5000
1,19.336301,-99.172885,6124
1,19.332134,-99.176305,5000
3,19.305145,-99.250124,2000
2,19.302257,-99.245975,8071
2,19.307219,-99.255838,18524
2,19.298235,-99.244053,11703
2,19.386456,-99.079697,4000
2,19.386232,-99.085545,5552
3,19.312301,-99.260035,16735
